date,train_id,depot,rs_days_from_plan,sig_days_from_plan,tel_days_from_plan,job_open_count,job_critical_count,branding_req_hours,branding_alloc_hours,mileage_km,bogie_wear_index,cleaning_slot,stabling_position,estimated_shunting_mins,prev_night_shunting_count,iot_temp_avg_c,hvac_alert,last_maintenance_date,predicted_failure_risk,manual_override_flag,assigned_status
2025-08-22,KM-T101,Pettah Depot,6,29,20,0,0,15.5,13.60780176889206,1969,0.15699782883920974,Night-B,Bay-12,25,1,26.36,0,2025-08-08,0.105,0,Service
2025-08-22,KM-T102,Tripunithura Depot,30,-1,10,1,0,1.0,13.489831607343374,1719,0.13832555901829924,No-Clean,Bay-12,18,1,26.99,0,2025-08-21,0.098,0,Service
2025-08-22,KM-T103,Pettah Depot,19,25,14,2,0,5.2,8.630852279805065,1981,0.2586477471327138,No-Clean,Bay-5,30,1,27.13,1,2025-07-09,0.141,0,Standby
2025-08-22,KM-T104,Tripunithura Depot,15,35,29,1,0,5.7,2.42693741263179,1864,0.18198276867688595,No-Clean,Bay-8,36,0,29.59,0,2025-05-16,0.114,0,Service
2025-08-22,KM-T105,Tripunithura Depot,36,51,16,2,1,0.4,1.8867667644770783,2110,0.21878376557924256,Night-B,Bay-5,18,1,24.76,0,2025-06-25,0.247,0,IBL
2025-08-22,KM-T106,Tripunithura Depot,-1,40,15,0,0,6.7,13.344617067646677,1332,0.12455790094535865,Night-A,Bay-9,8,0,25.47,0,2025-06-22,0.094,0,IBL
2025-08-22,KM-T107,Pettah Depot,38,21,19,1,0,15.5,14.824362173762227,1027,0.3109550674804397,Night-A,Bay-11,25,0,30.69,0,2025-05-18,0.159,0,Service
2025-08-22,KM-T108,Tripunithura Depot,-20,50,42,0,0,5.9,4.022009814645362,1974,0.12111355963050555,No-Clean,Bay-1,25,2,25.2,0,2025-05-25,0.092,0,IBL
2025-08-22,KM-T109,Pettah Depot,7,32,5,1,0,5.5,0.7122190647382383,2147,0.3955224100790562,Night-A,Bay-2,37,0,27.23,0,2025-08-04,0.188,0,Service
2025-08-22,KM-T110,Tripunithura Depot,34,30,8,0,0,14.4,10.629482507344768,1697,0.29205227946378437,Night-A,Bay-4,13,0,28.18,0,2025-08-15,0.152,0,Standby
2025-08-22,KM-T111,Tripunithura Depot,11,26,0,0,0,15.6,6.339741695910427,1355,0.18158424078001395,No-Clean,Bay-1,32,0,25.71,0,2025-07-05,0.264,0,Service
2025-08-22,KM-T112,Tripunithura Depot,-6,19,20,3,1,9.2,15.711348478976218,1835,0.1981608900952992,No-Clean,Bay-2,33,2,27.14,0,2025-05-29,0.239,0,IBL
2025-08-22,KM-T113,Pettah Depot,8,2,22,0,0,6.7,4.060444846143344,2119,0.10350918967878699,Night-A,Bay-8,36,1,27.98,0,2025-06-18,0.086,0,Service
2025-08-22,KM-T114,Tripunithura Depot,10,15,12,0,0,4.9,9.281500697372625,1863,0.35366819975938735,No-Clean,Bay-4,20,1,27.66,0,2025-08-07,0.174,1,Standby
2025-08-22,KM-T115,Pettah Depot,49,12,11,0,0,0.4,15.812570396644123,1121,0.199098124456521,Night-A,Bay-2,21,0,26.69,0,2025-08-22,0.12,1,Service
2025-08-22,KM-T116,Tripunithura Depot,71,42,-1,1,0,0.2,0.0,1449,0.19840225584982296,Night-A,Bay-7,19,1,23.86,0,2025-05-15,0.269,1,IBL
2025-08-22,KM-T117,Pettah Depot,30,66,21,0,0,1.1,9.782711549899629,1864,0.22193405701040816,Night-B,Bay-3,17,2,30.17,0,2025-06-10,0.128,0,Standby
2025-08-22,KM-T118,Pettah Depot,18,1,18,2,0,6.2,12.30934744018558,1560,0.09697431075963453,Night-B,Bay-11,29,1,27.87,0,2025-06-11,0.084,1,Service
2025-08-22,KM-T119,Pettah Depot,16,30,22,2,0,10.9,9.86632169889244,1240,0.18730858487481122,Night-A,Bay-6,17,0,26.55,0,2025-08-04,0.116,0,Standby
2025-08-22,KM-T120,Pettah Depot,67,43,-4,1,1,12.0,11.492604168353624,1505,0.1158847397740272,No-Clean,Bay-11,35,2,27.74,0,2025-08-14,0.361,0,IBL
2025-08-22,KM-T121,Tripunithura Depot,52,15,9,0,0,12.4,9.066452208213056,2085,0.30350550919138114,Night-A,Bay-2,16,0,26.93,0,2025-05-10,0.156,0,Service
2025-08-22,KM-T122,Tripunithura Depot,18,-1,6,2,1,12.8,16.092451264008147,1663,0.03376135917236874,Night-A,Bay-4,30,1,27.08,0,2025-07-23,0.182,1,IBL
2025-08-22,KM-T123,Tripunithura Depot,57,11,15,0,0,5.4,2.3266007316234307,1485,0.05825678827445138,Night-A,Bay-9,21,0,24.51,0,2025-04-28,0.07,0,Service
2025-08-22,KM-T124,Tripunithura Depot,43,50,25,1,0,0.4,4.826429792987875,1571,0.3049507112232343,No-Clean,Bay-1,23,1,28.86,0,2025-08-17,0.157,0,Service
