date,train_id,depot,rs_days_from_plan,sig_days_from_plan,tel_days_from_plan,job_open_count,job_critical_count,branding_req_hours,branding_alloc_hours,mileage_km,bogie_wear_index,cleaning_slot,stabling_position,estimated_shunting_mins,prev_night_shunting_count,iot_temp_avg_c,hvac_alert,last_maintenance_date,predicted_failure_risk,manual_override_flag,assigned_status
2025-08-22,KM-T101,Pettah Depot,6.0,29.0,20.0,0.0,0.0,15.5,13.60780176889206,1969.0,0.1569978288392097,Night-B,Bay-12,25.0,1.0,26.36,0.0,2025-08-08,0.105,0.0,Service
2025-08-22,KM-T102,Tripunithura Depot,30.0,-1.0,10.0,1.0,0.0,1.0,13.489831607343374,1719.0,0.1383255590182992,No-Clean,Bay-12,18.0,1.0,26.99,0.0,2025-08-21,0.098,0.0,Service
2025-08-22,KM-T103,Pettah Depot,19.0,25.0,14.0,2.0,0.0,5.2,8.630852279805065,1981.0,0.2586477471327138,No-Clean,Bay-5,30.0,1.0,27.13,1.0,2025-07-09,0.141,0.0,Standby
2025-08-22,KM-T104,Tripunithura Depot,15.0,35.0,29.0,1.0,0.0,5.7,2.42693741263179,1864.0,0.1819827686768859,No-Clean,Bay-8,36.0,0.0,29.59,0.0,2025-05-16,0.114,0.0,Service
2025-08-22,KM-T105,Tripunithura Depot,36.0,51.0,16.0,2.0,1.0,0.4,1.8867667644770785,2110.0,0.2187837655792425,Night-B,Bay-5,18.0,1.0,24.76,0.0,2025-06-25,0.247,0.0,IBL
2025-08-22,KM-T106,Tripunithura Depot,-1.0,40.0,15.0,0.0,0.0,6.7,13.344617067646675,1332.0,0.1245579009453586,Night-A,Bay-9,8.0,0.0,25.47,0.0,2025-06-22,0.094,0.0,IBL
2025-08-22,KM-T107,Pettah Depot,38.0,21.0,19.0,1.0,0.0,15.5,14.824362173762228,1027.0,0.3109550674804397,Night-A,Bay-11,25.0,0.0,30.69,0.0,2025-05-18,0.159,0.0,Service
2025-08-22,KM-T108,Tripunithura Depot,-20.0,50.0,42.0,0.0,0.0,5.9,4.022009814645362,1974.0,0.1211135596305055,No-Clean,Bay-1,25.0,2.0,25.2,0.0,2025-05-25,0.092,0.0,IBL
2025-08-22,KM-T109,Pettah Depot,7.0,32.0,5.0,1.0,0.0,5.5,0.7122190647382383,2147.0,0.3955224100790562,Night-A,Bay-2,37.0,0.0,27.23,0.0,2025-08-04,0.188,0.0,Service
2025-08-22,KM-T110,Tripunithura Depot,34.0,30.0,8.0,0.0,0.0,14.4,10.629482507344768,1697.0,0.2920522794637843,Night-A,Bay-4,13.0,0.0,28.18,0.0,2025-08-15,0.152,0.0,Standby
2025-08-22,KM-T111,Tripunithura Depot,11.0,26.0,0.0,0.0,0.0,15.6,6.339741695910427,1355.0,0.1815842407800139,No-Clean,Bay-1,32.0,0.0,25.71,0.0,2025-07-05,0.264,0.0,Service
2025-08-22,KM-T112,Tripunithura Depot,-6.0,19.0,20.0,3.0,1.0,9.2,15.711348478976218,1835.0,0.1981608900952992,No-Clean,Bay-2,33.0,2.0,27.14,0.0,2025-05-29,0.239,0.0,IBL
2025-08-22,KM-T113,Pettah Depot,8.0,2.0,22.0,0.0,0.0,6.7,4.060444846143344,2119.0,0.1035091896787869,Night-A,Bay-8,36.0,1.0,27.98,0.0,2025-06-18,0.086,0.0,Service
2025-08-22,KM-T114,Tripunithura Depot,10.0,15.0,12.0,0.0,0.0,4.9,9.281500697372625,1863.0,0.3536681997593873,No-Clean,Bay-4,20.0,1.0,27.66,0.0,2025-08-07,0.174,1.0,Standby
2025-08-22,KM-T115,Pettah Depot,49.0,12.0,11.0,0.0,0.0,0.4,15.812570396644125,1121.0,0.199098124456521,Night-A,Bay-2,21.0,0.0,26.69,0.0,2025-08-22,0.12,1.0,Service
2025-08-22,KM-T116,Tripunithura Depot,71.0,42.0,-1.0,1.0,0.0,0.2,0.0,1449.0,0.1984022558498229,Night-A,Bay-7,19.0,1.0,23.86,0.0,2025-05-15,0.269,1.0,IBL
2025-08-22,KM-T117,Pettah Depot,30.0,66.0,21.0,0.0,0.0,1.1,9.782711549899629,1864.0,0.2219340570104081,Night-B,Bay-3,17.0,2.0,30.17,0.0,2025-06-10,0.128,0.0,Standby
2025-08-22,KM-T118,Pettah Depot,18.0,1.0,18.0,2.0,0.0,6.2,12.30934744018558,1560.0,0.0969743107596345,Night-B,Bay-11,29.0,1.0,27.87,0.0,2025-06-11,0.084,1.0,Service
